Date,Volume therms
19/03/2024,8281.2
20/03/2024,8257.75
21/03/2024,8509.26
22/03/2024,8567.51
23/03/2024,7533.86
24/03/2024,7303.81
25/03/2024,9629.81
26/03/2024,9292.75
27/03/2024,9513.49
28/03/2024,9583.45
29/03/2024,7858.79
30/03/2024,6634.17
31/03/2024,6830.59
01/04/2024,7406.61
02/04/2024,8222.66
03/04/2024,8196.17
04/04/2024,7887.73
05/04/2024,7248.92
06/04/2024,5224.84
07/04/2024,5608.07
08/04/2024,7387.45
09/04/2024,8570.62
10/04/2024,8338.1
11/04/2024,7110.12
12/04/2024,6343.34
13/04/2024,5292.34
14/04/2024,5886.47
15/04/2024,8688.33
16/04/2024,8465.12
17/04/2024,8833.68
18/04/2024,8744.34
19/04/2024,7848.47
20/04/2024,6403.88
21/04/2024,6579.17
22/04/2024,8816.77
23/04/2024,8730.7
24/04/2024,8823.8
25/04/2024,9037.06
26/04/2024,8317.25
27/04/2024,6825.47
28/04/2024,6845.36
29/04/2024,8023.89
30/04/2024,7035.1
01/05/2024,6581.77
02/05/2024,6660.64
03/05/2024,6672
04/05/2024,5277.42
05/05/2024,5041.94
06/05/2024,4980.12
07/05/2024,6096.96
08/05/2024,5882.79
09/05/2024,5668.3
10/05/2024,5115.46
11/05/2024,4077.22
12/05/2024,4072.07
13/05/2024,5614.76
14/05/2024,5779.76
15/05/2024,5751.28
16/05/2024,5906.59
17/05/2024,5296.27
18/05/2024,4251.7
19/05/2024,4278.74
20/05/2024,5765.81
21/05/2024,5920.59
22/05/2024,6182.63
23/05/2024,6419.84
24/05/2024,5838.63
25/05/2024,4466.81
26/05/2024,4464.9
27/05/2024,4487.91
28/05/2024,5502.34
29/05/2024,5403.44
30/05/2024,5461.12
31/05/2024,5545.29
01/06/2024,4427.25
02/06/2024,3922.16
03/06/2024,5170.49
04/06/2024,5322.29
05/06/2024,5560.82
06/06/2024,5497.1
07/06/2024,5036.48
08/06/2024,4074.84
09/06/2024,4241.67
10/06/2024,5748.42
11/06/2024,5802.09
12/06/2024,5722.68
13/06/2024,5835.14
14/06/2024,5067.97
15/06/2024,4182.25
16/06/2024,4064.75
17/06/2024,5180.81
18/06/2024,5185.14
19/06/2024,5103.55
20/06/2024,4955.13
21/06/2024,4556.07
22/06/2024,3654.25
23/06/2024,3631.39
24/06/2024,4736.95
25/06/2024,4722.45
26/06/2024,4715.69
27/06/2024,4747.08
28/06/2024,4555.88
29/06/2024,3650.79
30/06/2024,3884.34
01/07/2024,5125.84
02/07/2024,5137.91
03/07/2024,5175.11
04/07/2024,5151.88
05/07/2024,4726.44
06/07/2024,3905.3
07/07/2024,3971.18
08/07/2024,5109.11
09/07/2024,5021.01
10/07/2024,4964.91
11/07/2024,5008.11
12/07/2024,4717.19
13/07/2024,3790.74
14/07/2024,3809.25
15/07/2024,4946.67
16/07/2024,4938.39
17/07/2024,4765.18
18/07/2024,4692.02
19/07/2024,4138.73
20/07/2024,3246.46
21/07/2024,3257.19
22/07/2024,4159.28
23/07/2024,4155.45
24/07/2024,4179.51
25/07/2024,4197.8
26/07/2024,4197.66
27/07/2024,3322.56
28/07/2024,3253.25
29/07/2024,4141.87
30/07/2024,4144.12
31/07/2024,4144.39
01/08/2024,4175.08
02/08/2024,4177.44
03/08/2024,3281.86
04/08/2024,3310.94
05/08/2024,4735.18
06/08/2024,4735.42
07/08/2024,4796.92
08/08/2024,4791.84
09/08/2024,4400.03
10/08/2024,3522.04
11/08/2024,3578.48
12/08/2024,4715.37
13/08/2024,4726.56
14/08/2024,4743.35
15/08/2024,4802.68
16/08/2024,4483.73
17/08/2024,3636.25
18/08/2024,3692.69
19/08/2024,4940.16
20/08/2024,4889.36
21/08/2024,4963.33
22/08/2024,4928.33
23/08/2024,4544.21
24/08/2024,3677.52
25/08/2024,3715.17
26/08/2024,3636.18
27/08/2024,4832.28
28/08/2024,4773.87
29/08/2024,4864.53
30/08/2024,4544.3
31/08/2024,3687.77
01/09/2024,3668.35
02/09/2024,4804.26
03/09/2024,4875.93
04/09/2024,5054.6
05/09/2024,5108.41
06/09/2024,4559.34
07/09/2024,3660.84
08/09/2024,3761.39
09/09/2024,5169.06
10/09/2024,5363.99
11/09/2024,5851.42
12/09/2024,6196.1
13/09/2024,5716.75
14/09/2024,4194.54
15/09/2024,4189.79
16/09/2024,5317.93
17/09/2024,5262.9
18/09/2024,5142.26
19/09/2024,5072.69
20/09/2024,4730.44
21/09/2024,3743.54
22/09/2024,3971.74
23/09/2024,5395.4
24/09/2024,5564.78
25/09/2024,5836.64
26/09/2024,5955.54
27/09/2024,6088.96
28/09/2024,5004.02
29/09/2024,5288.14
30/09/2024,7328.9
01/10/2024,7460.48
02/10/2024,7179.07
03/10/2024,7353.24
04/10/2024,6904.84
05/10/2024,5464.53
06/10/2024,5625.57
07/10/2024,6655.98
08/10/2024,6768.89
09/10/2024,7084.74
10/10/2024,8111.13
11/10/2024,7929.33
12/10/2024,6564.38
13/10/2024,6976.08
14/10/2024,8766.11
15/10/2024,7945.03
16/10/2024,6921.48
17/10/2024,6719.16
18/10/2024,6664
19/10/2024,5338.68
20/10/2024,5574.22
21/10/2024,7483.04
22/10/2024,7541.76
23/10/2024,7637.7
24/10/2024,7469.4
25/10/2024,6890.65
26/10/2024,5872.94
27/10/2024,6288.54
28/10/2024,7619.47
29/10/2024,7526.36
30/10/2024,7818.59
31/10/2024,8087.27
01/11/2024,7527.88
02/11/2024,6070.96
03/11/2024,6523.25
04/11/2024,8616.4
05/11/2024,8728.27
06/11/2024,8633.6
07/11/2024,8910.2
08/11/2024,8695.47
09/11/2024,7402.62
10/11/2024,7190.85
11/11/2024,9458.9
12/11/2024,9713.61
13/11/2024,9578.52
14/11/2024,9500.91
15/11/2024,9155.23
16/11/2024,7514.58
17/11/2024,7896.21
18/11/2024,10879
19/11/2024,12115.18
20/11/2024,12600.83
21/11/2024,13181.63
22/11/2024,11800.47
23/11/2024,8492.25
24/11/2024,7386.47
25/11/2024,9809.02
26/11/2024,10354.76
27/11/2024,11399.23
28/11/2024,11875.61
29/11/2024,10309.06
30/11/2024,7249.64
01/12/2024,7073.33
02/12/2024,10103.42
03/12/2024,10935.15
04/12/2024,11001.39
05/12/2024,10116.44
06/12/2024,9744.3
07/12/2024,8798.46
08/12/2024,8818.39
09/12/2024,11183.36
10/12/2024,11466.16
11/12/2024,11547.71
12/12/2024,11336.63
13/12/2024,10789.76
14/12/2024,8640.38
15/12/2024,8037.15
16/12/2024,10037.86
17/12/2024,10269.2
18/12/2024,9599.99
19/12/2024,10930.57
20/12/2024,10377.59
21/12/2024,8353.86
22/12/2024,9202.07
23/12/2024,9633.64
24/12/2024,7696.83
25/12/2024,6947.96
26/12/2024,7383.3
27/12/2024,8620.99
28/12/2024,8065.2
29/12/2024,7861.89
30/12/2024,8238.93
31/12/2024,7864.76
01/01/2025,7644.74
02/01/2025,10436.89
03/01/2025,10992.24
04/01/2025,10217.37
05/01/2025,9621.55
06/01/2025,12848.01
07/01/2025,13090.47
08/01/2025,13681.31
09/01/2025,13962.26
10/01/2025,13214.93
11/01/2025,10625.37
12/01/2025,10643.71
13/01/2025,12821.12
14/01/2025,11340.22
15/01/2025,10927.26
16/01/2025,11333.87
17/01/2025,10699.43
18/01/2025,9421.98
19/01/2025,10068.14
20/01/2025,12376.57
21/01/2025,12275.36
22/01/2025,12334.24
23/01/2025,12404.99
24/01/2025,10652.22
25/01/2025,8918.88
26/01/2025,9545.33
27/01/2025,11688.57
28/01/2025,11209.78
29/01/2025,11361.86
30/01/2025,11760.74
31/01/2025,10707.56
01/02/2025,8907.35
02/02/2025,8971.37
03/02/2025,11225.5
04/02/2025,10981.71
05/02/2025,11143.45
06/02/2025,11688.46
07/02/2025,11804.79
08/02/2025,9383.95
09/02/2025,9512.16
10/02/2025,12639.06
11/02/2025,12310.3
12/02/2025,12107.87
13/02/2025,12441.23
14/02/2025,11666.45
15/02/2025,9393.17
16/02/2025,9843.03
17/02/2025,12777.31
18/02/2025,12615.59
19/02/2025,12000.02
20/02/2025,10145.28
21/02/2025,8546.76
22/02/2025,6986.44
23/02/2025,7494.12
24/02/2025,9352.41
25/02/2025,9978.21
26/02/2025,10685.87
27/02/2025,10640.17
28/02/2025,10009.37
01/03/2025,8312.22
02/03/2025,8520.66
03/03/2025,10766.03
04/03/2025,10616.79
05/03/2025,10270.55
06/03/2025,9385.23
07/03/2025,8172.46
08/03/2025,6269.34
09/03/2025,6386.76
10/03/2025,9236.27
11/03/2025,10093.67
12/03/2025,10763.74
13/03/2025,11123.78
14/03/2025,10231.98
15/03/2025,8352.8
16/03/2025,8417.43
17/03/2025,11034.99
18/03/2025,10639.52
19/03/2025,9697.87
20/03/2025,8525.29
21/03/2025,7565.17
22/03/2025,5907.06
23/03/2025,6612.74
24/03/2025,8761.47
25/03/2025,8677.97
26/03/2025,8343.36
27/03/2025,8376.83
28/03/2025,8179.33
29/03/2025,6637.5
30/03/2025,6354.15
31/03/2025,7989.89
01/04/2025,7983.53
02/04/2025,7773.83
03/04/2025,7264.25
04/04/2025,6350.69
05/04/2025,5457.2
06/04/2025,5786.26
07/04/2025,7744.28
08/04/2025,7754.2
09/04/2025,8015.43
10/04/2025,7585.88
11/04/2025,6248.74
12/04/2025,4732.19
13/04/2025,5399.97
14/04/2025,7236.67
15/04/2025,7287.43
16/04/2025,7427.46
17/04/2025,6942.17
18/04/2025,6059.55
19/04/2025,5163.7
20/04/2025,5231.58
21/04/2025,6079.34
22/04/2025,6703.38
23/04/2025,6928.67
24/04/2025,6762.55
25/04/2025,6743.35
26/04/2025,4968.14
27/04/2025,4601.71
28/04/2025,5626.89
29/04/2025,5396.47
30/04/2025,5205.96
01/05/2025,5099.22
02/05/2025,4871.45
03/05/2025,4541.86
04/05/2025,5292.81
05/05/2025,5789.63
06/05/2025,7032.15
07/05/2025,6817.97
08/05/2025,6819.44
09/05/2025,5766.68
10/05/2025,4195.12
11/05/2025,4063.19
12/05/2025,5182.48
13/05/2025,5166.34
14/05/2025,5374.59
15/05/2025,5822.15
16/05/2025,5193.16
17/05/2025,4156.78
18/05/2025,4379.29
19/05/2025,5706.67
20/05/2025,5462.05
21/05/2025,5544.23
22/05/2025,5880.95
23/05/2025,5214.73
24/05/2025,4057.14
25/05/2025,4080.44
26/05/2025,4199.96
27/05/2025,5188.33
28/05/2025,4953.93
29/05/2025,4742.93
30/05/2025,4624.57
31/05/2025,3704.45
01/06/2025,3554.99
02/06/2025,4787.33
03/06/2025,4969.22
04/06/2025,5008.79
05/06/2025,5113.61
06/06/2025,4615.96
07/06/2025,3869.36
08/06/2025,3906.22
09/06/2025,4995.98
10/06/2025,4813.06
11/06/2025,4632.21
12/06/2025,4507.09
13/06/2025,4051.02
14/06/2025,3274.25
15/06/2025,3393.09
16/06/2025,4450.52
17/06/2025,4448.35
18/06/2025,4436.62
19/06/2025,4412.8
20/06/2025,4028.4
21/06/2025,3239.83
22/06/2025,3334.48
23/06/2025,4511.69
24/06/2025,4483.33
25/06/2025,4457.98
26/06/2025,4473.83
27/06/2025,4070.47
28/06/2025,3254.41
